Year,Make,Model,Fuel Type,Car Type,Car Build,Count,
2019,Ford,Ranger,Diesel,3.2L Diesel Dual Cab Ute 4XD,UTE,328,
2019,Ford,Ranger,Diesel,2.0L Diesel Dual Cab Ute 4XD,UTE,322,
2019,Hyundai,IONIQ,Electric,Premium FWD,OTHER,10,
2019,Hyundai,IONIQ,Electric,Elite FWD,OTHER,9,
2019,Hyundai,Kona,Electric,Highlander SUV FWD,SUV,19,
2019,Mazda,CX-5,Petrol,2.5L SUV 4WD,SUV,151,
2019,Mitsubishi,Outlander,Hybrid,ES ADAS 2.0L SUV 4WD Hybrid,SUV,6,
2019,Nissan,LEAF,Electric,Hatchback FWD,OTHER,12,
2019,Nissan,X-TRAIL,Petrol,2.5L SUV FWD,SUV,207,
2019,Tesla,Model 3,Electric,Sedan 4WD,OTHER,31,
2019,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,136,
2019,Toyota,Corolla,Petrol,2.0L Hatchback FWD,OTHER,135,
2019,Toyota,Corolla,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,OTHER,155,
2019,Toyota,Hilux,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,OTHER,180,
2019,Toyota,Landcruiser,Diesel,4.5L Diesel SUV 4XD,SUV,223,
2019,Toyota,Landcruiser Prado,Diesel,2.8L Diesel SUV 4XD,SUV,299,
2019,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,97,
2019,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,69,
2020,Ford,Everest,Diesel,2.0L Diesel SUV 4XD,SUV,125,
2020,Ford,Ranger,Diesel,2.0L Diesel Dual Cab Ute 4XD,UTE,309,
2020,Ford,Ranger,Diesel,3.2L Diesel Dual Cab Ute 4XD,UTE,271,
2020,Hyundai,Kona,Electric,Elite SUV FWD,SUV,7,
2020,Mercedes-Benz,EQC,Electric,SUV 4WD,SUV,14,
2020,MG,ZS EV,Electric,SUV FWD,SUV,13,
2020,Nissan,X-TRAIL,Petrol,2.5L SUV FWD,SUV,140,
2020,Tesla,Model 3,Electric,Sedan 4WD,OTHER,21,
2020,Tesla,Model 3,Electric,Sedan RWD,OTHER,9,
2020,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,179,
2020,Toyota,C-HR,Hybrid,1.8L SUV FWD Hybrid,SUV,30,
2020,Toyota,Corolla,Petrol,2.0L Sedan FWD,OTHER,122,
2020,Toyota,Corolla,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,OTHER,123,
2020,Toyota,Hilux,Diesel,2.8L Diesel Dual Cab Cab Chassis 4XD,OTHER,214,
2020,Toyota,Landcruiser,Diesel,4.5L Diesel SUV 4XD,SUV,267,
2020,Toyota,Landcruiser Prado,Diesel,2.8L Diesel SUV 4XD,SUV,223,
2020,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,131,
2020,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,121,
2021,Ford,Ranger,Diesel,2.0L Diesel Dual Cab Ute 4XD,UTE,335,
2021,Ford,Ranger,Diesel,3.2L Diesel Dual Cab Ute 4XD,UTE,286,
2021,Hyundai,i30,Petrol,2.0L Hatchback FWD,OTHER,156,
2021,Hyundai,Kona,Electric,Elite SUV FWD,SUV,23,
2021,Hyundai,Kona,Electric,Highlander SUV FWD,SUV,18,
2021,Kia,Stonic,Petrol,1.4L SUV FWD,SUV,177,
2021,MG,HS,Petrol,1.5L SUV FWD,SUV,183,
2021,Porsche,Taycan,Electric,Sedan 4WD,OTHER,17,
2021,Tesla,Model 3,Electric,Sedan RWD,OTHER,71,
2021,Tesla,Model 3,Electric,Sedan 4WD,OTHER,29,
2021,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,160,
2021,Toyota,Corolla,Petrol,2.0L Hatchback FWD,OTHER,229,
2021,Toyota,Corolla,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,OTHER,228,
2021,Toyota,Kluger,Hybrid,2.5L SUV 4WD Hybrid,SUV,134,
2021,Toyota,Landcruiser,Diesel,4.5L Diesel SUV 4XD,SUV,198,
2021,Toyota,Landcruiser Prado,Diesel,2.8L Diesel SUV 4XD,SUV,159,
2021,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,134,
2021,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,128,
2022,BMW,iX3,Electric,SUV RWD,SUV,24,
2022,Isuzu,D-MAX,Diesel,3.0L Diesel Dual Cab Ute 4XD,UTE,170,
2022,Kia,Sportage,Diesel,2.0L Diesel SUV 4WD,SUV,179,
2022,Mercedes-Benz,EQS,Electric,Sedan 4WD,OTHER,23,
2022,MG,HS,Petrol,1.5L SUV FWD,SUV,256,
2022,MG,HS Plus EV,Hybrid,1.5L SUV FWD Hybrid,SUV,153,
2022,MG,MG3,Petrol,1.5L Hatchback FWD,OTHER,384,
2022,MG,ZS,Petrol,1.5L SUV FWD,SUV,432,
2022,MG,ZS EV,Electric,SUV FWD,SUV,39,
2022,Suzuki,Baleno,Petrol,1.4L Hatchback FWD,OTHER,119,
2022,Tesla,Model 3,Electric,Sedan 4WD,OTHER,31,
2022,Tesla,Model Y,Electric,SUV RWD,SUV,48,
2022,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,48,
2022,Toyota,Corolla,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,OTHER,318,
2022,Toyota,Hilux,Diesel,2.8L Diesel Dual Cab Ute 4XD,UTE,211,
2022,Toyota,Landcruiser,Diesel,3.3L Diesel SUV 4XD,SUV,233,
2022,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,114,
2022,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,94,
2023,BMW,3 Series,Petrol,M Sport 2.0L Sedan RWD,OTHER,109,
2023,BMW,i4,Electric,Hatchback RWD,OTHER,66,
2023,Ford,Ranger,Diesel,2.0L Diesel Dual Cab Ute 4XD,UTE,256,
2023,Lexus,RZ,Electric,Luxury SUV 4WD,SUV,72,
2023,Mercedes-Benz,EQB,Electric,SUV FWD,SUV,58,
2023,Mercedes-Benz,EQE,Electric,Sedan 4WD,OTHER,99,
2023,MG,ZS,Petrol,1.5L SUV FWD,SUV,261,
2023,Nissan,X-TRAIL,Petrol,2.5L SUV 4WD,SUV,283,
2023,Nissan,X-TRAIL,Petrol,2.5L SUV FWD,SUV,205,
2023,Nissan,X-TRAIL,Hybrid,e-POWER 1.5L SUV 4WD Hybrid,SUV,54,
2023,Tesla,Model Y,Electric,SUV RWD,SUV,53,
2023,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,86,
2023,Toyota,Corolla,Hybrid,Hybrid 1.8L Hatchback FWD Hybrid,OTHER,54,
2023,Toyota,Hilux,Diesel,2.8L Diesel Dual Cab Ute 4XD,UTE,180,
2023,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,62,
2023,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,58,
2023,Volkswagen,Polo,Petrol,Life 1.0L Hatchback FWD,OTHER,111,
2023,Volkswagen,Tiguan,Petrol,Allspace 2.0L SUV 4WD,SUV,204,
2024,Audi,Q3,Petrol,1.4L SUV FWD,SUV,65,
2024,Audi,Q3,Petrol,S Line 2.0L SUV 4WD,SUV,49,
2024,Audi,Q5,Petrol,Sport 2.0L SUV 4WD,SUV,68,
2024,Audi,Q8 e-tron,Electric,SUV 4WD,SUV,14,
2024,Audi,S3,Petrol,2.0L Hatchback 4WD,OTHER,60,
2024,Audi,S3,Petrol,2.0L Sedan 4WD,OTHER,35,
2024,BMW,i4,Electric,Hatchback RWD,OTHER,29,
2024,BMW,iX1,Electric,xLine SUV FWD,SUV,29,
2024,Ford,Ranger,Petrol,3.0L Dual Cab Ute 4XC,UTE,11,
2024,GWM,Haval Jolion,Hybrid,Hybrid 1.5L SUV FWD Hybrid,SUV,14,
2024,Hyundai,i30,Hybrid,1.6L Sedan FWD Hybrid,OTHER,14,
2024,Hyundai,Kona,Electric,SUV FWD,SUV,6,
2024,Kia,EV6,Electric,SUV 4WD,SUV,5,
2024,Mazda,CX-5,Petrol,Maxx Sport 2.5L SUV FWD,SUV,52,
2024,Mitsubishi,Triton,Diesel,2.4L Diesel Dual Cab Ute 4XD,UTE,35,
2024,Toyota,Camry,Hybrid,2.5L Sedan FWD Hybrid,OTHER,20,
2024,Toyota,RAV4,Hybrid,2.5L SUV FWD Hybrid,SUV,53,
2024,Toyota,RAV4,Hybrid,2.5L SUV 4WD Hybrid,SUV,33,
